GeneID,dcp2.1
YER098W,63
YER099C,1211
YER100W,659
YER101C,336
YER102W,59029
YER103W,312
YER104W,441
YER105C,409
YER107C,886
YER110C,1196
YER111C,94
YER112W,1096
YER113C,691
YER114C,801
YER115C,425
YER116C,546
YER117W,55592
YER118C,470
YER119C,293
YER120W,7202
YER121W,329
YER122C,1690
YER123W,1025
YER124C,4078
YER125W,1610
YER126C,1003
YER127W,596
YER128W,477
YER129W,489
YER130C,1212
YER131W,20599
YER132C,446
YER133W,2509
YER134C,986
YER136W,638
YER137C,710
YER138W-A,30
YER139C,534
YER140W,239
YER141W,2263
YER142C,293
YER143W,393
YER144C,1108
YER145C,1315
YER146W,2345
YER147C,224
YER148W,1886
YER149C,242
YER150W,1916
YER151C,457
YER152C,794
YER153C,359
YER154W,630
YER155C,1068
YER156C,2622
YER157W,122
YER158C,94
YER159C,2687
YER160C,343
YER161C,697
YER162C,97
YER163C,1359
YER164W,519
YER165W,5481
YER166W,1074
YER167W,416
YER168C,501
YER169W,225
YER170W,459
YER171W,281
YER172C,548
YER173W,500
YER174C,657
YER175C,310
YER175W-A,85
YER176W,312
YER177W,10070
YER178W,1495
YER179W,0
YER180C-A,574
YER181C,118
YER182W,830
YER183C,312
YER184C,401
YER185W,165
YER186C,518
YER187W,23
YER188C-A,36
YER188W,79
YFL001W,355
YFL002C,439
YFL002W-A,458
YFL004W,228
YFL005W,2363
YFL007W,614
YFL008W,207
YFL009W,460
YFL010C,4963
YFL011W,646
YFL012W,99
YFL013C,158
YFL014W,14026
YFL016C,883
YFL017C,2409
YFL017W-A,648
YFL018C,641
YFL020C,57
YFL021W,980
YFL022C,57
YFL023W,247
YFL024C,154
YFL025C,420
YFL026W,195
YFL027C,80
YFL028C,1451
YFL029C,217
YFL030W,66
YFL031C-A,0
YFL031W,14439
YFL032W,0
YFL033C,336
YFL034C-A,17026
