trx,cds,utr5,utr3,
YDL100C,233,213,0,0
YDL098C,6,6,0,0
YDL097C,168,161,0,0
YDL094C,0,0,0,0
YDL091C,17,17,0,0
YDL090C,9,9,0,0
YDL088C,53,51,0,0
YDL087C,3,3,0,0
YDL086C-A,0,0,0,0
YDL085C-A,22,16,1,0
YDL083C,574,458,0,1
YDL081C,512,406,4,1
YDL080C,7,7,NA,0
YDL079C,1,1,NA,0
YDL078C,138,123,2,0
YDL077C,14,14,NA,0
YDL076C,26,22,2,0
YDL074C,45,42,0,0
YDL072C,123,106,4,0
YDL069C,1,1,0,0
YDL067C,127,65,1,1
YDL065C,33,30,0,0
YDL063C,43,41,0,0
YDL061C,274,138,0,0
YDL059C,3,3,0,NA
YDL055C,864,789,13,3
YDL054C,20,16,1,0
YDL053C,94,86,0,0
YDL052C,64,59,0,0
YDL049C,10,9,0,0
YDL048C,12,12,0,0
YDL045C,19,18,0,0
YDL044C,13,12,0,0
YDL043C,19,18,0,0
YDL042C,27,25,0,0
YDL040C,144,135,0,0
YDL039C,8,8,NA,0
YDL036C,17,17,NA,0
YDL035C,20,18,NA,0
YDL033C,4,4,0,0
YDL028C,22,21,1,0
YDL027C,7,7,0,0
YDL025C,25,25,0,0
YDL024C,2,2,NA,0
YDL020C,51,45,2,1
YDL019C,63,63,NA,0
YDL018C,31,28,0,1
YDL015C,127,108,0,NA
YDL012C,67,62,0,0
YDL009C,0,0,0,0
YDL005C,42,42,0,0
YDL002C,12,7,0,0
YDR001C,124,122,NA,0
YDR005C,27,27,0,0
YDR006C,36,33,1,0
YDR008C,1,1,NA,0
YDR010C,0,0,0,0
YDR016C,7,7,0,0
YDR017C,31,28,NA,0
YDR018C,8,7,NA,0
YDR019C,46,43,NA,0
YDR020C,13,12,NA,0
YDR022C,12,11,0,0
YDR026C,12,11,1,0
YDR027C,23,19,1,0
YDR028C,90,87,NA,1
YDR030C,10,10,0,0
YDR032C,261,220,6,0
YDR034C,24,21,2,0
YDR036C,47,44,0,0
YDR038C,83,80,NA,0
YDR042C,1,1,NA,0
YDR045C,32,22,2,0
YDR046C,75,72,1,0
YDR048C,0,0,0,0
YDR050C,1746,1609,2,1
YDR051C,35,35,0,0
YDR052C,30,30,0,0
YDR054C,64,60,0,1
YDR056C,48,41,1,0
YDR058C,13,12,0,0
YDR059C,27,27,0,0
YDR066C,3,2,0,0
YDR067C,13,10,0,0
YDR069C,16,15,NA,0
YDR070C,2,2,0,0
YDR071C,105,87,0,0
YDR072C,43,43,0,0
YDR078C,3,2,0,0
YDR079C-A,14,11,0,0
YDR081C,22,21,0,0
YDR084C,45,39,0,0
YDR085C,11,11,NA,0
YDR086C,129,95,2,0
YDR087C,71,67,0,0
YDR088C,26,26,0,0
YDR090C,17,14,2,0
YDR091C,146,142,0,0
YDR097C,50,49,1,0
YDR098C,154,153,NA,0
YDR101C,94,91,0,0
YDR104C,4,4,NA,0
YDR105C,17,15,1,0
YDR107C,11,9,0,0
YDR109C,10,10,NA,0
YDR111C,18,18,0,0
YDR113C,24,24,0,0
YDR116C,66,63,0,0
YDR117C,41,39,0,0
YDR120C,73,72,NA,0
YDR123C,8,8,0,0
YDR125C,2,2,NA,0
YDR129C,282,270,0,0
YDR130C,18,16,0,0
YDR131C,8,8,0,0
YDR132C,5,5,0,0
YDR133C,108,1,95,0
YDR135C,115,115,NA,0
YDR139C,36,23,0,0
YDR141C,48,47,NA,NA
YDR142C,8,7,0,0
YDR143C,35,33,0,0
YDR144C,44,43,1,0
YDR146C,112,109,NA,0
YDR148C,176,168,0,0
YDR151C,30,26,0,1
YDR153C,81,79,0,0
YDR162C,25,23,0,0
YDR164C,24,22,0,0
YDR166C,28,28,NA,0
YDR169C,36,34,0,0
YDR170C,160,160,NA,0
YDR173C,10,10,0,NA
YDR175C,57,45,0,1
YDR179C,7,7,0,0
YDR181C,15,15,0,0
YDR185C,8,7,0,0
YDR186C,23,23,0,0
YDR190C,141,136,0,0
YDR192C,29,29,0,0
YDR194C,122,118,0,0
YDR196C,22,22,NA,0
YDR198C,5,5,0,0
YDR200C,23,22,0,0
YDR202C,16,14,0,0
YDR207C,26,26,0,NA
YDR215C,0,0,0,0
YDR217C,19,19,0,NA
YDR218C,2,2,NA,0
YDR219C,20,20,NA,0
YDR224C,310,265,1,0
YDR228C,45,44,0,0
YDR231C,35,32,0,0
YDR233C,384,368,0,0
YDR236C,11,11,0,0
YDR238C,213,208,0,0
YDR239C,32,30,0,0
YDR240C,9,8,0,0
YDR243C,17,16,0,0
YDR248C,23,18,0,0
YDR249C,2,2,0,0
YDR253C,0,0,0,0
YDR255C,9,8,0,0
YDR256C,1,1,NA,0
YDR257C,26,21,0,1
YDR258C,239,231,0,0
YDR259C,4,4,0,0
YDR260C,13,13,0,0
YDR261C,65,63,0,0
YDR263C,0,0,0,0
YDR264C,51,50,0,0
YDR266C,67,67,0,0
YDR267C,14,13,0,0
YDR271C,1,1,NA,0
YDR274C,0,0,0,0
YDR276C,223,146,0,1
YDR277C,18,15,1,0
YDR281C,0,0,0,0
YDR282C,8,7,0,1
YDR283C,28,27,NA,0
YDR284C,61,56,2,0
YDR286C,10,8,NA,0
YDR289C,44,41,0,0
YDR292C,47,45,0,0
YDR293C,112,106,2,NA
YDR294C,79,75,0,0
YDR295C,24,21,1,0
YDR298C,150,140,3,0
YDR300C,59,51,0,0
YDR303C,40,36,1,0
YDR304C,152,131,0,0
YDR305C,21,21,NA,0
YDR306C,10,10,0,0
YDR308C,22,19,1,0
YDR309C,85,81,1,0
YDR310C,36,32,1,0
YDR313C,3,2,0,0
YDR314C,3,2,1,0
YDR315C,6,6,0,0
YDR319C,11,11,0,0
YDR320C,58,54,0,0
YDR320C-A,15,9,NA,0
YDR322C-A,69,62,0,0
YDR323C,7,7,0,0
YDR324C,80,79,NA,0
YDR326C,35,34,NA,0
YDR328C,106,84,3,0
YDR329C,34,33,0,0
YDR333C,45,40,0,0
YDR338C,9,9,0,0
YDR339C,49,45,0,0
YDR341C,304,287,0,0
YDR342C,624,609,1,1
YDR343C,612,597,1,1
YDR345C,640,625,0,0
YDR346C,83,75,2,0
YDR348C,63,59,3,0
YDR349C,44,40,1,0
YDR350C,12,9,0,0
YDR357C,21,17,1,1
YDR359C,17,16,0,0
YDR361C,44,40,0,0
YDR362C,15,15,0,0
YDR364C,10,10,0,0
YDR365C,99,93,0,0
YDR366C,1,1,0,NA
YDR369C,9,9,NA,0
YDR370C,16,16,0,0
YDR372C,69,56,6,0
YDR375C,39,33,0,0
YDR378C,46,39,0,1
YDR379C-A,15,13,0,0
YDR381C-A,21,19,NA,0
YDR383C,10,9,0,0
YDR384C,52,43,0,0
YDR387C,2,2,0,0
YDR390C,26,25,0,0
YDR391C,20,19,0,0
YDR397C,21,19,1,0
YDR402C,1,1,NA,0
YDR404C,36,30,2,0
YDR407C,26,26,0,0
YDR408C,46,39,0,0
YDR410C,14,11,0,0
YDR411C,49,41,0,0
YDR414C,11,9,0,0
YDR415C,26,23,0,0
YDR422C,40,37,0,0
YDR423C,27,27,NA,0
YDR424C,26,22,1,0
YDR426C,0,0,0,0
YDR428C,33,31,0,0
YDR429C,152,138,0,0
YDR430C,61,57,1,0
YDR435C,17,16,0,0
YDR441C,26,23,0,0
YDR443C,9,9,NA,0
YDR445C,16,16,NA,0
YDR447C,667,539,0,1
YDR449C,42,42,0,0
YDR451C,49,48,0,0
YDR453C,5,4,0,0
YDR454C,197,170,0,1
YDR458C,23,22,0,0
YDR459C,2,2,0,0
YDR461C-A,5,3,0,0
