trx,cds,utr5,utr3,
YDR298C,880,543,99,158
YDR300C,235,214,1,14
YDR303C,356,307,39,8
YDR304C,603,506,16,26
YDR305C,91,80,NA,3
YDR306C,145,129,5,2
YDR308C,85,58,4,9
YDR309C,246,229,10,0
YDR310C,401,337,27,29
YDR313C,92,64,0,18
YDR314C,57,56,1,0
YDR315C,65,56,1,5
YDR319C,86,56,7,7
YDR320C,222,201,0,8
YDR320C-A,120,69,NA,25
YDR322C-A,416,166,0,211
YDR323C,48,40,1,6
YDR324C,436,409,NA,23
YDR326C,491,470,NA,18
YDR328C,552,365,44,113
YDR329C,151,134,3,4
YDR333C,281,247,2,26
YDR338C,117,103,1,6
YDR339C,174,127,0,33
YDR341C,1414,1287,0,58
YDR342C,4217,3743,105,212
YDR343C,3892,3591,76,77
YDR345C,4106,3614,50,270
YDR346C,557,437,28,76
YDR348C,269,214,25,16
YDR349C,579,501,21,29
YDR350C,176,156,3,10
YDR357C,219,139,5,39
YDR359C,333,273,36,14
YDR361C,174,124,4,42
YDR362C,97,85,4,2
YDR364C,106,84,0,19
YDR365C,202,186,6,8
YDR366C,344,340,0,NA
YDR369C,107,100,NA,4
YDR370C,110,102,0,0
YDR372C,472,321,72,54
YDR375C,326,290,0,15
YDR378C,272,126,0,88
YDR379C-A,81,41,0,23
YDR381C-A,90,54,NA,25
YDR383C,40,31,0,2
YDR384C,205,162,4,28
YDR387C,121,96,7,8
YDR390C,236,221,2,7
YDR391C,128,115,0,4
YDR397C,188,131,8,21
YDR402C,7,5,NA,1
YDR404C,239,126,47,48
YDR407C,326,313,6,4
YDR408C,187,137,3,25
YDR410C,91,79,0,3
YDR411C,303,266,11,12
YDR414C,110,83,10,12
YDR415C,120,106,1,7
YDR422C,261,220,3,33
YDR423C,135,125,NA,3
YDR424C,122,77,5,9
YDR426C,18,3,NA,0
YDR428C,164,127,4,21
YDR429C,703,588,0,50
YDR430C,609,577,9,12
YDR435C,147,115,0,21
YDR441C,256,118,51,68
YDR443C,368,322,NA,44
YDR445C,2015,2015,NA,0
YDR447C,3983,3013,17,440
YDR449C,148,130,2,10
YDR451C,169,138,2,15
YDR453C,45,36,2,4
YDR454C,904,688,0,124
YDR458C,185,159,1,18
YDR459C,88,75,3,5
YDR461C-A,45,26,0,11
YDR465C,184,158,0,14
YDR468C,161,107,18,20
