trx,cds,utr5,utr3,
YDL002C,149,85,8,44
YDR001C,1293,1198,NA,59
YDR005C,339,258,21,39
YDR006C,470,415,21,9
YDR008C,63,8,NA,53
YDR010C,20,8,8,0
YDR016C,122,71,1,21
YDR017C,422,394,NA,15
YDR018C,67,59,NA,7
YDR019C,730,624,NA,70
YDR020C,146,84,NA,55
YDR022C,70,58,0,8
YDR026C,277,230,26,10
YDR027C,293,272,11,6
YDR028C,1088,986,NA,87
YDR030C,93,87,0,4
YDR032C,919,593,54,142
YDR034C,339,304,22,4
YDR036C,248,212,0,21
YDR038C,1190,1173,NA,10
YDR042C,5,4,NA,1
YDR045C,156,78,15,42
YDR046C,1389,1236,58,35
YDR048C,7,0,4,3
YDR050C,8411,7200,122,449
YDR051C,178,150,6,12
YDR052C,357,282,21,42
YDR054C,600,344,59,161
YDR056C,216,154,11,19
YDR058C,59,44,0,11
YDR059C,224,158,7,29
YDR066C,53,38,2,3
YDR067C,147,109,8,10
YDR069C,312,280,NA,29
YDR070C,24,7,4,10
YDR071C,632,484,26,49
YDR072C,602,525,42,15
YDR078C,59,44,0,7
YDR079C-A,73,37,2,18
YDR081C,243,226,8,2
YDR084C,219,171,0,26
YDR085C,292,261,NA,16
YDR086C,745,268,107,300
YDR087C,265,231,3,15
YDR088C,111,80,20,9
YDR090C,181,122,5,45
YDR091C,1204,960,24,181
YDR097C,393,377,5,6
YDR098C,469,446,NA,15
YDR101C,835,787,0,21
YDR104C,144,139,NA,4
YDR105C,250,223,3,12
YDR107C,118,106,0,7
YDR109C,206,194,NA,7
YDR111C,248,214,17,9
YDR113C,163,140,7,7
YDR116C,346,285,1,31
YDR117C,225,215,3,1
YDR120C,377,339,NA,32
YDR123C,220,109,6,93
YDR125C,163,76,NA,86
YDR129C,1558,1382,24,97
YDR130C,187,139,0,38
YDR131C,177,166,3,3
YDR132C,87,72,6,4
YDR133C,2848,1186,943,388
YDR135C,1492,1460,NA,21
YDR139C,171,79,10,48
YDR141C,943,939,NA,NA
YDR142C,132,101,16,11
YDR143C,387,320,18,37
YDR144C,346,309,15,10
YDR146C,451,440,NA,6
YDR148C,936,765,3,116
YDR151C,226,175,16,23
YDR153C,392,316,26,27
YDR162C,190,106,28,40
YDR164C,278,252,1,17
YDR166C,365,353,NA,3
YDR169C,402,269,71,50
YDR170C,1977,1923,NA,45
YDR173C,113,109,0,NA
YDR175C,303,254,8,24
YDR179C,60,49,0,5
YDR181C,174,151,0,16
YDR185C,38,22,8,5
YDR186C,609,574,6,8
YDR190C,715,639,6,35
YDR192C,135,113,8,5
YDR194C,977,882,4,55
YDR196C,156,135,NA,12
YDR198C,125,121,1,1
YDR200C,178,166,5,5
YDR202C,163,154,1,2
YDR207C,199,187,6,NA
YDR215C,20,3,0,16
YDR217C,231,227,1,NA
YDR218C,11,10,NA,1
YDR219C,242,206,NA,26
YDR224C,2368,1906,61,174
YDR228C,325,293,17,4
YDR231C,223,172,1,27
YDR233C,1857,1476,56,192
YDR236C,174,129,4,20
