Geneid,WT_1
YDL214C,55
YDL213C,1684
YDL212W,4199
YDL211C,621
YDL210W,176
YDL209C,453
YDL208W,2443
YDL207W,1156
YDL206W,1141
YDL205C,3389
YDL204W,724
YDL203C,1730
YDL202W,946
YDL201W,2051
YDL200C,462
YDL199C,368
YDL198C,3399
YDL197C,798
YDL196W,21
YDL195W,16161
YDL194W,545
YDL193W,1030
YDL192W,4971
YDL191W,9094
YDL190C,4057
YDL189W,1247
YDL188C,2929
YDL187C,127
YDL186W,15
YDL185C-A,1
YDL185W,22279
YDL184C,2330
YDL182W,2701
YDL181W,2066
YDL180W,1729
YDL179W,1406
YDL178W,2176
YDL177C,316
YDL176W,774
YDL175C,415
YDL174C,2642
YDL173W,1556
YDL172C,37
YDL171C,25357
YDL170W,807
YDL169C,94
YDL168W,2113
YDL167C,3732
YDL166C,746
YDL165W,761
YDL164C,1479
YDL163W,2
YDL162C,7
YDL161W,3713
YDL160C-A,296
YDL160C,4722
YDL159W-A,1
YDL159W,803
YDL159C-B,2
YDL158C,162
YDL157C,862
YDL156W,522
YDL155W,1443
YDL154W,462
YDL153C,2020
YDL152W,2
YDL151C,0
YDL150W,1958
YDL149W,575
YDL148C,3007
YDL147W,4378
YDL146W,732
YDL145C,14617
YDL144C,2550
YDL143W,4909
YDL142C,629
YDL141W,2323
YDL140C,21179
YDL139C,211
YDL138W,1846
YDL137W,3417
YDL136W,3726
YDL135C,1696
YDL134C,2674
YDL133C-A,1844
YDL133W,894
YDL132W,3063
YDL131W,3827
YDL130W-A,675
YDL130W,8365
YDL129W,851
YDL128W,6320
YDL127W,861
YDL126C,12052
YDL125C,3548
YDL124W,3946
YDL123W,1147
YDL122W,4682
YDL121C,1868
YDL120W,1289
YDL119C,495
YDL118W,2
YDL117W,2728
YDL116W,2234
YDL115C,604
YDL114W-A,11
YDL114W,15
YDL113C,726
YDL111C,2499
YDL110C,930
YDL109C,440
YDL108W,718
YDL107W,569
YDL106C,812
YDL105W,364
YDL104C,700
YDL103C,1534
YDL102W,2224
YDL101C,1187
YDL100C,4652
YDL099W,913
YDL098C,489
YDL097C,2757
YDL096C,6
YDL095W,12425
YDL094C,13
YDL093W,2081
YDL092W,1642
YDL091C,963
YDL090C,792
YDL089W,688
YDL088C,2212
YDL087C,394
YDL086W,3469
YDL086C-A,89
YDL085C-A,532
YDL085W,47
YDL084W,8829
YDL083C,8055
YDL082W,7413
YDL081C,9354
YDL080C,1167
YDL079C,200
YDL078C,2830
YDL077C,1309
YDL076C,1155
YDL075W,6365
YDL074C,2634
YDL073W,1739
YDL072C,2850
YDL071C,65
YDL070W,3805
YDL069C,250
YDL068W,24
YDL067C,2448
YDL066W,7491
YDL065C,816
YDL064W,1250
YDL063C,2775
YDL062W,5
YDL061C,3496
YDL060W,4164
YDL059C,269
YDL058W,3672
YDL057W,246
YDL056W,1829
YDL055C,14467
YDL054C,1561
YDL053C,1258
YDL052C,3345
YDL051W,3057
YDL050C,2
YDL049C,309
YDL048C,8943
YDL047W,2064
YDL046W,5459
YDL045W-A,910
YDL045C,1156
YDL044C,484
YDL043C,593
YDL042C,1738
YDL041W,13
YDL040C,5016
YDL039C,10111
YDL037C,4911
YDL036C,1153
YDL035C,2460
YDL034W,4
YDL032W,2
YDL031W,4228
YDL030W,1066
YDL029W,2811
YDL028C,1233
YDL027C,1016
YDL026W,15
YDL025C,1178
YDL025W-A,24
YDL024C,99
YDL022C-A,4
YDL023C,18
YDL022W,3516
YDL021W,79
YDL020C,2203
YDL019C,4869
YDL018C,1017
YDL017W,485
YDL016C,466
YDL015C,5287
YDL014W,9106
YDL013W,1209
YDL012C,2427
YDL011C,0
YDL010W,765
YDL009C,16
YDL008W,737
YDL007C-A,1
YDL007W,2915
YDL006W,1077
YDL005C,1008
YDL004W,2822
YDL003W,1805
YDL002C,781
YDL001W,1028
YDR001C,2337
YDR002W,3276
YDR003W,682
YDR003W-A,247
YDR004W,821
YDR005C,1246
YDR006C,4464
YDR007W,223
YDR008C,77
YDR009W,127
YDR010C,2
YDR011W,13068
YDR012W,27589
YDR013W,376
YDR014W,602
