trx,cds,utr5,utr3,
YDR320C-A,44,31,NA,0
YDR322C-A,185,153,0,2
YDR323C,26,26,0,0
YDR324C,284,282,NA,0
YDR326C,173,172,NA,0
YDR328C,334,266,5,1
YDR329C,64,57,0,0
YDR333C,128,124,0,0
YDR338C,36,36,0,0
YDR339C,203,164,0,0
YDR341C,740,710,0,0
YDR342C,3333,3230,4,3
YDR343C,3279,3176,4,3
YDR345C,1559,1523,0,1
YDR346C,253,234,0,0
YDR348C,211,200,4,0
YDR349C,100,98,0,0
YDR350C,36,31,1,0
YDR357C,48,42,1,0
YDR359C,65,63,1,0
YDR361C,173,147,0,0
YDR362C,54,50,1,0
YDR364C,46,44,0,0
YDR365C,355,342,0,0
YDR366C,4,4,0,NA
YDR369C,51,48,NA,0
YDR370C,32,32,0,0
YDR372C,193,178,4,0
YDR375C,74,63,0,0
YDR378C,91,71,0,1
YDR379C-A,40,32,0,0
YDR381C-A,65,59,NA,0
YDR383C,34,30,0,0
YDR384C,276,258,1,0
YDR387C,26,18,8,0
YDR390C,111,105,0,0
YDR391C,119,109,0,0
YDR397C,122,108,0,0
YDR402C,1,0,NA,1
YDR404C,89,73,3,1
YDR407C,74,67,0,0
YDR408C,102,89,0,2
YDR410C,26,25,0,0
YDR411C,135,120,0,0
YDR414C,33,31,0,0
YDR415C,102,81,0,0
YDR422C,96,93,0,0
YDR423C,81,80,NA,0
YDR424C,71,61,1,0
YDR426C,0,0,0,0
YDR428C,48,40,0,0
YDR429C,632,565,0,1
YDR430C,193,188,0,0
YDR435C,39,37,0,0
YDR441C,42,34,0,0
YDR443C,50,50,NA,0
YDR445C,23,23,NA,0
YDR447C,1620,1316,1,4
YDR449C,149,144,0,0
YDR451C,187,176,0,0
YDR453C,30,25,1,0
YDR454C,292,275,0,0
YDR458C,125,121,0,0
YDR459C,9,6,0,0
YDR461C-A,31,26,0,0
YDR465C,145,131,0,1
YDR468C,108,98,0,0
YDR470C,82,74,0,0
YDR473C,93,90,0,0
YDR475C,62,60,0,0
YDR476C,100,87,0,0
YDR479C,50,49,0,0
YDR481C,133,117,2,0
YDR482C,19,19,0,0
YDR485C,87,85,0,0
YDR486C,147,135,0,0
YDR487C,282,267,0,0
YDR488C,23,22,NA,0
