Geneid,xrn1_2
YBR299W,409
YBR300C,86
YBR301W,76
YBR302C,2353
YDR293C,24073
YDL183C,1128
YDL112W,13597
YDL033C,6822
YDR036C,3690
YDR100W,2070
YDR166C,7985
YDR351W,12106
YDR420W,23273
YDR496C,10086
YDL248W,2451
YDL247W-A,324
YDL247W,823
YDL246C,4
YDL245C,57
YDL244W,305
YDL243C,2233
YDL242W,175
YDL241W,1370
YDL240C-A,1
YDL240W,7726
YDL239C,3635
YDL238C,2319
YDL237W,5457
YDL236W,5149
YDL235C,4635
YDL234C,5901
YDL233W,2289
YDL232W,1224
YDL231C,18358
YDL230W,2095
YDL229W,41946
YDL228C,4
YDL227C,7686
YDL226C,4818
YDL225W,6133
YDL224C,15796
YDL223C,4886
YDL222C,805
YDL221W,90
YDL220C,4858
YDL219W,2402
YDL218W,581
YDL217C,3136
YDL216C,2959
YDL215C,12998
YDL214C,819
YDL213C,3631
YDL212W,6544
YDL211C,5055
YDL210W,408
YDL209C,2509
YDL208W,4633
YDL207W,4771
YDL206W,5959
YDL205C,9026
YDL204W,6986
YDL203C,6459
YDL202W,2720
YDL201W,4322
YDL200C,1420
YDL199C,2238
YDL198C,6775
YDL197C,6673
YDL196W,147
YDL195W,26537
YDL194W,2957
YDL193W,2970
YDL192W,6544
YDL191W,9653
YDL190C,12783
YDL189W,4093
YDL188C,7620
YDL187C,290
YDL186W,134
YDL185C-A,3
YDL185W,23627
YDL184C,2312
YDL182W,5597
YDL181W,3111
YDL180W,7071
YDL179W,7204
YDL178W,5272
YDL177C,1557
YDL176W,5354
YDL175C,2177
YDL174C,6696
YDL173W,5194
YDL172C,81
YDL171C,27839
YDL170W,5021
YDL169C,456
YDL168W,4326
YDL167C,12180
YDL166C,1819
YDL165W,1816
YDL164C,6645
YDL163W,0
YDL162C,73
YDL161W,9172
YDL160C-A,664
YDL160C,20355
YDL159W-A,2
YDL159W,4125
YDL159C-B,7
YDL158C,283
YDL157C,1253
YDL156W,3168
YDL155W,6658
YDL154W,3100
YDL153C,3983
YDL152W,12
YDL151C,7
YDL150W,5280
YDL149W,3608
YDL148C,8382
YDL147W,11895
YDL146W,3063
YDL145C,25290
YDL144C,5024
YDL143W,10835
YDL142C,4027
YDL141W,6722
YDL140C,38895
YDL139C,1256
YDL138W,8261
YDL137W,5169
YDL136W,4609
YDL135C,3040
YDL134C,8286
YDL133C-A,2328
YDL133W,6082
YDL132W,11948
YDL131W,9239
YDL130W-A,1853
YDL130W,8088
YDL129W,3849
YDL128W,9009
YDL127W,4423
YDL126C,19306
YDL125C,8382
YDL124W,7691
YDL123W,3455
YDL122W,12495
YDL121C,3351
YDL120W,2406
YDL119C,2309
YDL118W,4
YDL117W,12744
YDL116W,9290
YDL115C,3281
YDL114W-A,50
YDL114W,62
YDL113C,4639
YDL111C,6651
YDL110C,4067
YDL109C,4895
YDL108W,2934
YDL107W,2641
YDL106C,6269
YDL105W,2770
YDL104C,2098
YDL103C,3525
YDL102W,7742
YDL101C,5000
YDL100C,7897
YDL099W,2805
YDL098C,1625
YDL097C,6987
YDL096C,25
YDL095W,19185
YDL094C,239
YDL093W,5799
YDL092W,3321
YDL091C,3668
YDL090C,2803
YDL089W,2308
YDL088C,9320
YDL087C,2262
YDL086W,5988
YDL086C-A,106
YDL085C-A,803
YDL085W,386
YDL084W,12494
YDL083C,9490
YDL082W,9281
YDL081C,9428
YDL080C,5841
YDL079C,1020
YDL078C,4563
YDL077C,6577
YDL076C,4454
YDL075W,6602
YDL074C,10346
YDL073W,8055
YDL072C,5301
YDL071C,137
YDL070W,10226
YDL069C,1213
YDL068W,39
YDL067C,4050
YDL066W,11210
