GeneID,xrn1.2
YEL011W,545
YEL012W,415
YEL013W,1823
YEL015W,651
YEL016C,474
YEL017C-A,13479
YEL017W,759
YEL018W,401
YEL019C,52
YEL020C,70
YEL020C-B,559
YEL020W-A,3408
YEL021W,1752
YEL022W,532
YEL023C,110
YEL024W,6958
YEL025C,947
YEL026W,17232
YEL027W,73445
YEL028W,323
YEL029C,2064
YEL030W,50
YEL031W,2977
YEL032W,441
YEL033W,367
YEL034W,97183
YEL036C,674
YEL037C,1141
YEL038W,4151
YEL039C,771
YEL040W,5347
YEL041W,151
YEL042W,3004
YEL043W,303
YEL044W,841
YEL045C,21
YEL046C,3228
YEL047C,1454
YEL048C,2139
YEL049W,40
YEL050C,1513
YEL051W,3750
YEL052W,1139
YEL053C,1164
YEL054C,56940
YEL055C,1856
YEL056W,770
YEL057C,28
YEL058W,2084
YEL059C-A,1324
YEL059W,20
YEL060C,542
YEL061C,244
YEL062W,734
YEL063C,1830
YEL064C,181
YEL065W,648
YEL066W,1857
YEL068C,1061
YEL070W,0
YEL071W,4105
YEL072W,518
YEL073C,470
YEL075C,0
YER001W,2823
YER002W,2397
YER003C,5818
YER004W,2517
YER005W,162
YER006C-A,0
YER006W,1197
YER007C-A,2126
YER007W,34
YER008C,844
YER009W,24212
YER010C,678
YER011W,0
YER012W,2268
YER013W,167
YER014W,147
YER015W,108
YER016W,698
YER017C,641
YER018C,422
YER019C-A,7721
YER019W,1188
YER020W,552
YER021W,579
YER022W,519
YER023C-A,24
YER023W,765
YER024W,0
YER025W,5150
YER026C,2134
YER027C,1268
YER028C,61
YER029C,551
YER030W,2309
YER031C,2184
YER032W,179
YER033C,174
YER034W,121
YER035W,1086
YER036C,4856
YER037W,609
YER038C,596
YER038W-A,53
YER039C-A,229
YER040W,765
YER041W,328
YER042W,1208
YER043C,17556
YER044C,4640
YER045C,452
YER046W,467
YER047C,132
YER048C,1019
YER048W-A,4245
YER049W,1140
YER050C,1833
YER051W,127
YER052C,3182
YER053C,1555
YER053C-A,10172
YER054C,41
YER055C,21242
YER056C,10293
YER056C-A,37563
YER057C,8839
YER058W,596
YER059W,401
YER060W,251
YER061C,372
YER062C,947
YER063W,1015
YER064C,304
YER065C,152
YER066W,465
YER067W,1060
YER068W,1001
YER069W,724
YER070W,1872
YER071C,1140
YER072W,8244
YER073W,2963
YER074W,32444
YER074W-A,2037
YER075C,139
YER076C,295
YER078C,404
YER079W,160
YER080W,477
YER081W,2440
YER082C,396
YER083C,2143
YER084W-A,35
YER086W,2060
YER087C-A,0
YER087C-B,3267
YER087W,196
YER088C,1019
YER089C,1641
YER090W,1692
YER091C,12564
YER092W,1945
YER093C,229
YER093C-A,599
YER094C,4761
YER095W,1889
YER096W,112
YER098W,18
YER099C,960
YER100W,298
YER101C,144
YER102W,132719
YER103W,183
YER104W,376
YER105C,577
YER107C,1192
YER110C,2968
YER111C,94
YER112W,1271
YER113C,651
YER114C,906
YER115C,672
YER116C,567
YER117W,57387
YER118C,476
YER119C,224
YER120W,11019
YER121W,54
YER122C,2791
YER123W,1178
YER124C,4994
YER125W,2230
YER126C,1172
YER127W,638
YER128W,442
YER129W,399
YER130C,1357
YER131W,41405
YER132C,403
YER133W,2610
YER134C,1029
YER136W,1247
YER137C,459
YER138W-A,0
YER139C,590
YER140W,409
YER141W,2313
YER142C,338
YER143W,313
YER144C,756
YER145C,1351
YER146W,2360
YER147C,192
YER148W,2953
YER149C,332
YER150W,789
YER151C,458
YER152C,630
YER153C,113
YER154W,602
YER155C,1050
YER156C,3550
