set	setSize	pMANOVA	s.PC1	s.PC2	p.PC1	p.PC2	s.dist	SD	p.adjustMANOVA
chromatin binding (GO:0003682)	102	1.802747480788897e-4	0.20210493409055386	-0.19933482693343058	4.696402994150168e-4	5.616252467405928e-4	0.2838675353264756	0.2838607772579665	9.127052959879788e-4
regulation of translational fidelity (GO:0006450)	14	1.998349809271935e-4	0.6341690455504531	-0.19448926399404246	4.020692700645964e-5	0.20828700573130735	0.6633222837680918	0.5859499099654939	0.00100598746080394
nuclear polyadenylation-dependent CUT catabolic process (GO:0071039)	10	2.086204275076732e-4	0.7477430555555555	-0.37282986111111116	4.24495013734595e-5	0.04137338859496423	0.8355368229274452	0.7923647081889881	0.0010442807840214602
autophagosome assembly (GO:0000045)	23	2.2053304263385733e-4	-0.48554667171310967	0.2823579505133179	5.682072858823858e-5	0.01930163830794992	0.5616774720689441	0.5429905656808011	0.0010977094144584134
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	13	2.2493936306207347e-4	-0.445619310114424	0.6206130460202122	0.005446239322356757	1.0778497205979543e-4	0.7640269121158896	0.7539401293433113	0.0011133870149329448
tRNA wobble uridine modification (GO:0002098)	28	2.3298328689567817e-4	0.4455493308434485	-0.1414254590725179	4.62749450389041e-5	0.19635117140218858	0.46745627248857957	0.415053854335129	0.0011467955121642827
ubiquitin protein ligase binding (GO:0031625)	21	2.5782097583157984e-4	-0.4504076157328279	0.4054300423671753	3.59228144811125e-4	0.0013199783071350208	0.6060037455032603	0.6051686116373262	0.0012620407988219876
mitochondrial membrane (GO:0031966)	63	2.677997567852714e-4	-0.2962835188960326	0.10121443381597055	5.169238179631875e-5	0.16705977385989984	0.31309469044061283	0.28107349787042707	0.001303684530284343
translation initiation factor binding (GO:0031369)	13	2.7355161118586735e-4	0.6403240624738996	-0.15840641443247308	6.454103176646811e-5	0.3233294121886039	0.6596267862332691	0.5647877365608612	0.0013244083470528877
formation of translation preinitiation complex (GO:0001731)	11	2.909834107175138e-4	0.6891686563924463	-0.14908143733843762	7.604420304209515e-5	0.3924463002225136	0.7051090071135556	0.592732325607367	0.0014011483798680284
protein refolding (GO:0042026)	28	3.2602277560188114e-4	-0.023669467787114856	-0.39159663865546224	0.8288181364755207	3.440416503707325e-4	0.39231131912243106	0.26016379750379	0.0015529902106627242
peptidase activity (GO:0008233)	92	3.2570939209252125e-4	-0.24198351553343966	0.12190916251993321	6.82725577271935e-5	0.04497104251476216	0.27095731342083	0.2573109802756731	0.0015529902106627242
RSC-type complex (GO:0016586)	18	3.3532675365948963e-4	0.32202898550724635	-0.5319565217391304	0.018182631515823833	9.477078231684806e-5	0.6218363197237841	0.6038589432089465	0.0015887673996914857
protein targeting to vacuole (GO:0006623)	49	3.432181157236653e-4	-0.32689241159365906	0.17864401177411224	7.995603920832404e-5	0.031210369680553463	0.37252158554943815	0.35746823310014453	0.001617506651761529
L-isoleucine catabolic process (GO:0006550)	11	3.5074831993650915e-4	-1.775953588412882e-4	0.6367977583519151	0.9991871823319769	2.5676097695835555e-4	0.6367977831165366	0.4504095920575755	0.0016442487379034238
protein import into nucleus (GO:0006606)	55	3.6936815373308547e-4	0.30409419640188873	-0.06107226107226099	1.0234976439073458e-4	0.43561670206065595	0.31016624793453734	0.2582116783418403	0.0017224220221448091
phosphatidylinositol binding (GO:0035091)	32	4.232486037277139e-4	-0.3806421718273005	0.029778129088530284	2.0052895596336825e-4	0.7712999871215642	0.38180518585453666	0.2902109779142073	0.0019633416905903375
sporulation resulting in formation of a cellular spore (GO:0030435)	64	4.326248439224295e-4	-0.24612291392182697	-0.034770256916996	7.044196323036029e-4	0.6324245566451987	0.24856681098538672	0.14944889698991043	0.0019963833943503775
transcription elongation by RNA polymerase II (GO:0006368)	61	4.922843002259119e-4	0.20890577277976236	-0.26833515003039815	0.004989099435565216	3.0918315579701855e-4	0.34006672086892886	0.3374602927787902	0.0022599165284982277
peroxisome organization (GO:0007031)	31	5.00687041626417e-4	-0.40523358439348234	0.15072751183217653	9.741516422512439e-5	0.14749153930756193	0.4323575380903038	0.3931238612170701	0.0022866428808299252
nuclear mRNA surveillance (GO:0071028)	21	5.304718638679351e-4	0.4895014346830749	-0.21959455959891036	1.0507574398676832e-4	0.082065683885039	0.536501095210651	0.5014065860690091	0.0024102465199332844
