ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0019658	glucose fermentation to lactate and acetate	8/462	23/4617	0.34782608695652173	3.4760022586109542	3.969061542015538	0.0011933488791916681	0.012275767152615068	0.010565349114018442	YGR254W/YKL060C/YLR044C/YKL152C/YMR083W/YBR196C/YAL038W/YJR009C	8
BP	GO:0019659	glucose catabolic process to lactate	8/462	23/4617	0.34782608695652173	3.4760022586109542	3.969061542015538	0.0011933488791916681	0.012275767152615068	0.010565349114018442	YGR254W/YKL060C/YLR044C/YKL152C/YMR083W/YBR196C/YAL038W/YJR009C	8
BP	GO:0006637	acyl-CoA metabolic process	10/462	34/4617	0.29411764705882354	2.9392666157372043	3.784168139461862	0.0013084916926475215	0.013254721191933291	0.011407902663901655	YNR001C/YGL059W/YJR078W/YML126C/YOR317W/YFL018C/YNL071W/YJR025C/YER178W/YGR244C	10
BP	GO:0035383	thioester metabolic process	10/462	34/4617	0.29411764705882354	2.9392666157372043	3.784168139461862	0.0013084916926475215	0.013254721191933291	0.011407902663901655	YNR001C/YGL059W/YJR078W/YML126C/YOR317W/YFL018C/YNL071W/YJR025C/YER178W/YGR244C	10
BP	GO:0008202	steroid metabolic process	13/462	52/4617	0.25	2.4983766233766236	3.6230192665226317	0.0013958384004128755	0.014032405737483983	0.012077230179010925	YMR015C/YGR060W/YHR007C/YER044C/YPL028W/YPL170W/YML126C/YGR175C/YHR190W/YJL167W/YNL156C/YMR202W/YML008C	13
BP	GO:0006074	(1->3)-beta-D-glucan metabolic process	5/462	10/4617	0.5	4.996753246753247	4.218583057203998	0.0016148325988749547	0.015528136657297572	0.01336455659633353	YLR343W/YOL030W/YLR342W/YMR295C/YDR420W	5
BP	GO:0006075	(1->3)-beta-D-glucan biosynthetic process	5/462	10/4617	0.5	4.996753246753247	4.218583057203998	0.0016148325988749547	0.015528136657297572	0.01336455659633353	YLR343W/YOL030W/YLR342W/YMR295C/YDR420W	5
BP	GO:0006097	glyoxylate cycle	5/462	10/4617	0.5	4.996753246753247	4.218583057203998	0.0016148325988749547	0.015528136657297572	0.01336455659633353	YLR304C/YDL066W/YJL200C/YLR174W/YCL018W	5
BP	GO:0015908	fatty acid transport	5/462	10/4617	0.5	4.996753246753247	4.218583057203998	0.0016148325988749547	0.015528136657297572	0.01336455659633353	YJL079C/YOR317W/YOL147C/YER024W/YKR013W	5
BP	GO:0042816	vitamin B6 metabolic process	5/462	10/4617	0.5	4.996753246753247	4.218583057203998	0.0016148325988749547	0.015528136657297572	0.01336455659633353	YMR095C/YMR096W/YFL059W/YNL333W/YBR035C	5
BP	GO:1902223	erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process	5/462	10/4617	0.5	4.996753246753247	4.218583057203998	0.0016148325988749547	0.015528136657297572	0.01336455659633353	YGL202W/YGL026C/YER090W/YBR166C/YDR007W	5
BP	GO:0019662	non-glycolytic fermentation	8/462	24/4617	0.3333333333333333	3.331168831168831	3.817679796898326	0.0016360010015957034	0.015618513159118694	0.01344234067952547	YGR254W/YKL060C/YLR044C/YKL152C/YMR083W/YBR196C/YAL038W/YJR009C	8
BP	GO:0046434	organophosphate catabolic process	13/462	54/4617	0.24074074074074073	2.405844155844156	3.4647922489708862	0.0020219822740866473	0.019165503412235576	0.016495118551759495	YNR001C/YGR254W/YOR344C/YGL224C/YKL060C/YDR481C/YPL110C/YKL152C/YBR196C/YGL248W/YAL038W/YJR009C/YMR008C	13
BP	GO:0006084	acetyl-CoA metabolic process	8/462	25/4617	0.32	3.197922077922078	3.674089487347359	0.002199150695261606	0.02052654244987535	0.017666520095280018	YNR001C/YGL059W/YJR078W/YML126C/YFL018C/YNL071W/YJR025C/YER178W	8
BP	GO:0061615	glycolytic process through fructose-6-phosphate	6/462	15/4617	0.4	3.9974025974025977	3.876910501786743	0.0022119785759850603	0.02052654244987535	0.017666520095280018	YGR254W/YKL060C/YKL152C/YBR196C/YAL038W/YJR009C	6
BP	GO:0061620	glycolytic process through glucose-6-phosphate	6/462	15/4617	0.4	3.9974025974025977	3.876910501786743	0.0022119785759850603	0.02052654244987535	0.017666520095280018	YGR254W/YKL060C/YKL152C/YBR196C/YAL038W/YJR009C	6
BP	GO:0015849	organic acid transport	14/462	61/4617	0.22950819672131148	2.293591654247392	3.391084709385371	0.0022413908408883735	0.020655039207353277	0.01777711302897577	YGR065C/YJL079C/YMR241W/YKR039W/YOR317W/YOL147C/YDL119C/YAL067C/YER024W/YKR013W/YHL036W/YPL134C/YPL058C/YGR243W	14
BP	GO:0006550	L-isoleucine catabolic process	5/462	11/4617	0.45454545454545453	4.54250295159386	3.9220485946744357	0.002719101026619471	0.02454589838315672	0.021125847575239002	YLR044C/YMR083W/YDL168W/YFL018C/YHR208W	5
BP	GO:0006559	L-phenylalanine catabolic process	5/462	11/4617	0.45454545454545453	4.54250295159386	3.9220485946744357	0.002719101026619471	0.02454589838315672	0.021125847575239002	YGL202W/YLR044C/YMR083W/YIL116W/YDL168W	5
BP	GO:0006574	L-valine catabolic process	5/462	11/4617	0.45454545454545453	4.54250295159386	3.9220485946744357	0.002719101026619471	0.02454589838315672	0.021125847575239002	YLR044C/YMR083W/YDL168W/YFL018C/YHR208W	5
BP	GO:0006007	glucose catabolic process	8/462	26/4617	0.3076923076923077	3.0749250749250754	3.537560047689227	0.0029039735249380676	0.025690485783952104	0.02211095631268634	YGR254W/YKL060C/YLR044C/YKL152C/YMR083W/YBR196C/YAL038W/YJR009C	8
BP	GO:0009154	purine ribonucleotide catabolic process	8/462	26/4617	0.3076923076923077	3.0749250749250754	3.537560047689227	0.0029039735249380676	0.025690485783952104	0.02211095631268634	YGR254W/YOR344C/YKL060C/YKL152C/YBR196C/YGL248W/YAL038W/YJR009C	8
BP	GO:0015718	monocarboxylic acid transport	8/462	26/4617	0.3076923076923077	3.0749250749250754	3.537560047689227	0.0029039735249380676	0.025690485783952104	0.02211095631268634	YGR065C/YJL079C/YOR317W/YOL147C/YAL067C/YER024W/YKR013W/YGR243W	8
BP	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	9/462	32/4617	0.28125	2.8106737012987013	3.426998282521572	0.0031918116009247827	0.02797582291405134	0.0240778708299256	YGR295C/YNL336W/YBR302C/YML132W/YKL219W/YHL048W/YKL124W/YDL248W/YJR161C	9
BP	GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	7/462	21/4617	0.3333333333333333	3.331168831168831	3.5699467561695246	0.003204465021051849	0.02797582291405134	0.0240778708299256	YJR078W/YGL202W/YLR044C/YMR083W/YIL116W/YDL168W/YJR025C	7
