gene_id,TE_WT_Arava,TE_WT_Park_HP,TE_WT_Park_LP,TE_WT_Gerashchenko,is_ambiguous_Gerashchenko,TE_WT_Sen,TE_WT_Arava_mean_norm,TE_WT_Park_HP_mean_norm,TE_WT_Park_LP_mean_norm,TE_WT_Gerashchenko_mean_norm,TE_WT_Sen_mean_norm,TE_WT_PP,TE_WT_RS,TPMsc_input_small_YM,TPMsc_MandP_small_YM,TPMsc_P_small_YM,TPMsc_input_large_YM,TPMsc_MandP_large_YM,TPMsc_P_large_YM,TE_rRNAdep_MandP_small_YM,TE_rRNAdep_P_small_YM,TE_rRNAdep_MandP_large_YM,TE_rRNAdep_P_large_YM,TE_polyA_MandP_small_YM,TE_polyA_P_small_YM,TE_polyA_MandP_large_YM,TE_polyA_P_large_YM,TPMsc_input_polyA_small_YM,TPMsc_input_polyA_large_YM
YGR109C,0.059659405,1.212892314,1.427375864,1.13997935,FALSE,0.678302164,0.175824831,1.107243083,1.235884151,1.20497306,0.561299497,0.839650688,0.883136278,0.577894962,0.34098533,0.895935123,3.285311552,3.928179953,2.798894771,0.590047244,1.550342504,1.195679585,0.851941962,0.225308323,0.591995089,1.320586726,0.940940417,1.513416479,2.974571738
YNL233W,0.153784957,0.430588449,0.351492889,1.129083485,FALSE,0.920187651,0.453226345,0.393081955,0.304337843,1.193455988,0.761461326,0.383548714,0.977458657,21.97756059,15.32675891,16.35383939,26.19656816,22.12774103,23.17236182,0.697382171,0.744115314,0.84468091,0.884557156,0.842264434,0.898706463,1.152487695,1.206895084,18.19708667,19.19998029
YBL035C,0.31380958,0.810979386,0.740354246,1.407644527,FALSE,0.939522749,0.92484188,0.740338863,0.641030931,1.487898647,0.777461248,0.768737224,1.132679947,8.441527131,7.010774748,8.719315594,16.49022443,12.28811859,12.96086401,0.830510243,1.032907371,0.745175946,0.785972566,1.05742305,1.315119315,1.231378381,1.298793434,6.630056674,9.979157327
YML102W,0.535195444,1.163659453,1.078576872,0.514799379,FALSE,0.378929142,1.577297803,1.062298661,0.933878801,0.544149666,0.313566354,1.191158422,0.42885801,17.16071472,12.85439936,13.7767665,16.3104756,18.20581897,17.43263513,0.749059673,0.802808434,1.116204053,1.068799927,0.518970305,0.556209007,0.709597044,0.679461131,24.76904603,25.65655978
YNL309W,0.348603551,1.00155286,0.84406748,1.318390709,FALSE,0.543367431,1.027384707,0.914312395,0.730830363,1.393556196,0.449640119,0.890842488,0.921598158,11.15910566,11.42268019,10.89183711,19.69216919,18.19440829,18.26066852,1.023619682,0.976049286,0.923941294,0.927306095,1.190524111,1.135197211,1.130817128,1.134935327,9.594665138,16.08961153
YJL115W,0.447215071,0.893046916,0.596971696,0.958632004,FALSE,1.404444876,1.318007014,0.815257883,0.516884078,1.013286547,1.162187362,0.883382992,1.087736954,21.80620725,23.30107341,27.22933212,43.53248819,46.04908376,50.12528276,1.068552323,1.248696383,1.057809596,1.151445388,0.64188911,0.750103287,0.574697584,0.625568992,36.30077698,80.12750536
YOL017W,0.331803259,1.101306717,0.893513336,0.666677196,FALSE,0.570381858,0.977871835,1.005377172,0.773642737,0.704686502,0.471994735,0.918963915,0.588340618,2.130653889,2.254692828,2.461711909,4.275248498,7.0698176,5.111215415,1.058216372,1.155378601,1.653662379,1.195536451,0.48742467,0.53217853,0.582821801,0.421358505,4.625725715,12.13032456
YPL267W,0.12336127,1.49973917,2.23240835,1.440869187,FALSE,1.375541818,0.363563371,1.369104086,1.932916317,1.523017547,1.138269892,1.221861258,1.330643719,9.039979572,9.459951293,10.21336907,26.56248059,43.24779493,41.79191742,1.046457154,1.129800016,1.62815347,1.573343923,1.046148341,1.129466609,1.174545579,1.135006119,9.042648086,36.82087412
YLR286C,0.466634665,0.822679063,0.768893165,2.748534717,FALSE,NA,1.375239346,0.751019436,0.665741169,2.905237088,NA,0.93066665,2.905237088,619.7409389,337.1957113,308.3744536,15.19819872,12.37777252,11.78771473,0.544091394,0.497586063,0.814423653,0.775599461,0.631959322,0.577943622,0.975973221,0.929447838,533.5718608,12.68249196
YDR503C,0.425149467,1.847976327,2.688006283,0.478707448,FALSE,1.109569472,1.252976509,1.687007975,2.327392837,0.506000024,0.918176028,1.755792441,0.712088026,14.75748234,21.69110188,21.89169306,23.86511718,27.59160865,27.16406962,1.469837563,1.48343007,1.156148048,1.138233239,0.657060392,0.66313664,0.505701718,0.49786574,33.01234124,54.56103405
YDL103C,0.582254603,1.290156285,1.202220145,1.728532284,FALSE,2.042024251,1.715987898,1.177776961,1.04093453,1.827081196,1.689788484,1.311566463,1.75843484,54.54965125,40.82570796,39.51636516,60.72201624,46.21130175,53.73183603,0.74841373,0.724410959,0.761030424,0.884882277,0.779258922,0.754266898,0.697266219,0.810740938,52.39042739,66.27497575
YPL221W,0.108055013,0.832104127,0.689990809,0.797478525,FALSE,0.882702996,0.318453634,0.759623528,0.597424075,0.842945215,0.730442529,0.558500412,0.786693872,73.51919701,46.58351158,47.46942518,120.5341807,81.09866597,92.19063795,0.633623781,0.64567388,0.672827123,0.76485058,0.661966801,0.674555921,0.661966818,0.752504897,70.37137135,122.5116785
YJR148W,0.494013086,1.451399505,1.298757048,1.182587546,FALSE,1.283425898,1.45592748,1.324975057,1.124520382,1.250010479,1.062043362,1.30180764,1.156026921,183.4306,175.1566905,217.3880872,525.0704926,563.7179148,622.5589666,0.954893516,1.18512444,1.073604255,1.185667402,0.53543668,0.664533883,0.782778957,0.864485669,327.1286729,720.1495515
YGR221C,NA,1.058493495,1.199634503,0.291390509,FALSE,NA,NA,0.966293205,1.038695767,0.308003573,NA,1.002494486,0.308003573,4.601586407,3.582890227,3.556561884,8.29763152,6.683430454,7.093762608,0.778620656,0.772899077,0.805462431,0.854914151,0.972165624,0.965021808,1.202569244,1.276401512,3.685473069,5.557626296
YJL078C,0.075378458,0.672285875,0.519402219,4.700712342,FALSE,1.8276629,0.222151137,0.613726277,0.449721049,4.968714331,1.512403058,0.428532821,3.240558694,147.1976578,75.33918664,66.11747871,3.369821185,3.68157852,2.841057236,0.511823271,0.449174801,1.092514504,0.843088425,0.937306743,0.822578016,1.355863815,1.046313879,80.37836831,2.715301108
YPL153C,0.030690065,0.592390557,0.405667271,0.957967498,FALSE,0.726986259,0.090448027,0.540790258,0.35124438,1.012584155,0.601585905,0.327494222,0.80708503,4.690871125,2.837714662,3.664245231,11.6563754,8.217321511,7.033747886,0.604944068,0.781143872,0.704963698,0.603424962,0.611576638,0.789708285,0.811214646,0.694372161,4.639998467,10.12965133
YPR175W,0.144344031,0.774041076,0.789491138,0.729561446,FALSE,0.812252396,0.42540258,0.706618072,0.683575791,0.771155975,0.672144194,0.605198814,0.721650085,8.30050775,6.473758679,5.613806626,13.5549673,14.15177498,14.76597777,0.779923214,0.67632087,1.044028707,1.089340715,1.09723545,0.95148243,1.198492864,1.250508788,5.900063364,11.80797601
YPR174C,0.302178378,0.900829594,0.7357162,0.671442794,FALSE,0.829319546,0.890563059,0.822362649,0.637015109,0.709723801,0.686267373,0.783313606,0.697995587,18.38643766,17.72874196,16.75301215,26.68768692,27.69309503,28.76795386,0.964229303,0.911161393,1.037673108,1.077948567,1.06706102,1.008333601,1.385477019,1.439251875,16.61455309,19.98813019
YJL217W,0.671630787,1.668091099,1.850235842,0.93288879,FALSE,1.424050196,1.979392344,1.522791686,1.602014725,0.986075633,1.178410893,1.701399585,1.082243263,162.8149184,161.1744321,202.9016342,302.4638617,354.9441885,424.3117752,0.989924226,1.246210336,1.173509412,1.402851147,0.737258986,0.928131411,0.898733923,1.074375631,218.6130452,394.9380116
YBR073W,0.232495342,0.557829479,0.438724476,0.863323573,FALSE,0.646176415,0.685197149,0.50923963,0.379866747,0.91254429,0.534715229,0.524767842,0.72362976,17.69946062,13.34434247,14.20632098,61.18864068,47.63217642,52.3785657,0.753940629,0.802641464,0.778448024,0.856017802,0.60443102,0.643474274,0.736544364,0.809938581,22.07752751,64.66979961
YPR120C,0.049420719,1.097048779,1.121872152,0.739505866,FALSE,0.664342907,0.145649952,1.001490123,0.971365739,0.781667358,0.54974812,0.706168605,0.665707739,10.80149913,8.620693465,6.602431523,9.78749573,8.926975789,9.277294253,0.798101575,0.611251405,0.912079661,0.947872112,0.636556257,0.4875268,0.590800872,0.613985482,13.54270479,15.10995703
YAR008W,0.425850085,1.325750351,1.237775143,0.431291957,FALSE,0.795536484,1.255041331,1.210270598,1.071719594,0.455881231,0.658311667,1.179010508,0.557096449,3.547458601,7.620233984,4.578323306,5.756498336,6.08379604,6.824178461,2.148082569,1.290592455,1.056857083,1.185473887,0.489592101,0.294152507,0.428860068,0.481051241,15.5644545,14.18596997
