gene_id	log2FC_pat1D	log2FC_lsm1D	log2FC_dhh1D
YEL067C	-0.14406816	-0.1007731916	-0.818339417
YEL068C	0.070864116	0.1094227837	-0.94885697
YEL069C	6.043620264	5.9472570362	3.21173295
YEL070W	2.886099351	2.8017886242	1.488557403
YEL071W	0.193748626	0.1899028082	-0.233071081
YEL072W	-0.747890804	-0.757208302	-1.251431584
YEL073C	1.738001698	1.6732633398	0.480632212
YEL074W	-0.464037456	-0.5033130764	-1.425424173
YEL075W-A	-0.850793501	-1.0663417269	-1.269841721
YEL076C	-3.770867978	-0.0865621092	NA
YEL077C	-0.50130238	-0.3865719244	-0.871821837
YEL077W-A	0.811566541	-2.0491792707	-2.697889066
YER001W	-0.889678213	-0.8932757227	-0.831563954
YER002W	0.748543389	0.7645601723	0.5371021
YER003C	-0.074502733	-0.0859866801	0.189025644
YER004W	-0.210415671	-0.1996509815	-0.291113319
YER005W	-0.647740394	-0.6434074621	-0.589944879
YER006C-A	1.29216681	1.8461519868	0.486675425
YER006W	0.122377482	0.1418299206	0.013790742
YER007C-A	0.234953115	0.2611747787	-0.329126905
YER007W	-0.059774504	-0.0278532112	-0.330294241
YER008C	-0.562769113	-0.5064375772	0.096290489
YER009W	-0.145381727	-0.1885664567	-0.411441531
YER010C	0.604326961	0.5524732847	-0.086068054
YER011W	1.314409379	1.3778573501	-0.323237676
YER012W	0.68305564	0.6685006973	0.379624857
YER013W	-0.220393726	-0.2629914595	0.610133842
YER014W	0.763062164	0.847731183	0.139989046
YER015W	-0.148476027	-0.019328633	-0.568409484
YER016W	0.595304707	0.5724030763	0.239902772
YER017C	-0.405762032	-0.340084014	0.137073327
YER018C	-0.360925236	-0.4259541705	0.370396597
YER019C-A	-0.193851529	-0.3965721644	-0.457073939
YER019W	-0.56449793	-0.4552451252	-0.128086136
YER020W	0.077674632	0.0762732552	0.309203858
YER021W	0.122038434	0.1393400035	0.065774381
YER022W	-0.015421507	0.0426627567	0.221400733
YER023C-A	-0.105038069	0.8664928663	NA
YER023W	-0.509876999	-0.3917882929	-0.631742146
YER024W	0.3968493	0.3989228696	1.535233523
YER025W	-0.100345067	-0.0639931444	-0.312391761
YER026C	1.44410947	1.4026997482	1.118621004
YER027C	-0.364085067	-0.3242781179	0.084248639
YER028C	-1.104816821	-0.9410878948	-1.297115693
YER029C	0.97757541	0.9714231476	0.780623012
YER030W	0.919347275	0.9002124727	0.628883895
YER031C	0.230304145	0.2011492621	-0.14113908
YER032W	-0.744651711	-0.6883579483	0.392442713
YER033C	0.078545985	0.1000781065	0.512674874
YER034W	0.830666092	0.8670108583	0.6951831
YER035W	0.10714775	-0.0050728046	1.164271304
YER036C	-0.362223404	-0.3196502361	-0.594288512
