name,hl_wt_rep1,k_wt_rep1,R2_wt_rep1,hl_wt_rep2,k_wt_rep2,R2_wt_rep2,hl_wt_rep3,k_wt_rep3,R2_wt_rep3,hl_UPF3_rep1,k_UPF3_rep1,R2_UPF3_rep1,hl_UPF3_rep2,k_UPF3_rep2,R2_UPF3_rep2,hl_UPF3_rep3,k_UPF3_rep3,R2_UPF3_rep3
YAL023C,20.8276176,0.036415738,0.801568141,13.35209223,0.055048544,0.965010506,15.67824192,0.047346315,0.976614805,28.12009684,0.027660564,0.647620901,15.85903849,0.046717793,0.974918413,14.04642366,0.052357914,0.987040236
YAL024C,4.88036953,0.145163145,0.99626883,6.149738624,0.115847192,0.962360561,5.692816106,0.124893767,0.923953173,NA,NA,NA,2.300451121,0.304320275,0.925952915,7.651191661,0.093604397,0.936577577
YAL025C,7.712670887,0.093006768,0.972674455,6.863627446,0.104124005,0.96923937,5.648358944,0.125852103,0.982026213,5.481687365,0.129458811,0.978572842,5.353357083,0.132490008,0.993777968,6.430678088,0.110798606,0.982880636
YAL026C,16.77045995,0.044466978,0.915056654,12.54175074,0.058402722,0.984803824,14.17858063,0.052022466,0.97402513,22.64046364,0.033626449,0.624565362,16.16187491,0.045898829,0.921166123,14.06004486,0.052310107,0.958029415
YAL027W,12.23393399,0.059793294,0.761038343,8.607706142,0.083661896,0.909571495,6.729769669,0.106132706,0.887869646,16.4231559,0.045216514,0.891759598,6.828462857,0.104519557,0.938574187,9.744006127,0.074146784,0.969826085
YAL028W,NA,NA,NA,5.23004727,0.135667267,0.963420014,8.97269395,0.080386276,0.926733542,11.46878621,0.063448744,0.732902258,10.74597149,0.067514014,0.896549278,16.06369418,0.046160958,0.894603996
YAL029C,12.39169643,0.059071967,0.813972523,12.78461998,0.057352812,0.947607672,9.26769618,0.077927289,0.990578103,11.25458799,0.064599,0.993772168,10.78753963,0.067265461,0.955470541,9.888728223,0.073105708,0.990529372
YAL030W,23.28434941,0.032904345,0.967075739,16.25176856,0.045786112,0.985799996,20.0970294,0.037625575,0.979899625,35.77544968,0.022385974,0.687836964,15.93601112,0.046506685,0.971970216,19.1306196,0.039243377,0.977980055
YAL031C,9.925109663,0.072973278,0.913255272,6.981858224,0.102413867,0.97463691,6.005339796,0.118557352,0.995501661,7.719929144,0.092797762,0.870847226,5.54696864,0.12797067,0.993815281,5.118805258,0.138422941,0.962001514
YAL032C,NA,NA,NA,3.628680516,0.194154614,0.875826801,7.546444422,0.094986373,0.983802548,15.7809041,0.046934194,0.873315924,6.701334009,0.106445243,0.920875695,4.336134405,0.162864746,0.967141578
YAL033W,14.35146057,0.051433567,0.929082248,11.74821816,0.06213574,0.951881884,12.30900387,0.059447751,0.969136304,11.85091401,0.061499956,0.949800798,9.845925616,0.073410426,0.974703146,9.027468938,0.079793041,0.985047009
YAL034C,12.25992869,0.059673162,0.986592579,5.912380368,0.120372111,0.678372095,8.073130887,0.088994077,0.917359846,NA,NA,NA,6.269987035,0.113561052,0.924714386,9.68089188,0.074610551,0.958373167
YAL034W-A,5.859456907,0.121431008,0.864134824,4.095412991,0.172385184,0.902517429,6.019927588,0.118277656,0.950150334,1.805938271,0.386826578,0.951617343,15.01707284,0.04916831,0.658779474,5.978482907,0.118951347,0.962104898
YAL035W,16.00096893,0.046454618,0.970255555,13.9847235,0.05270014,0.965105625,15.00588212,0.049327241,0.990718405,18.42399443,0.040633016,0.898194364,14.03797046,0.052387629,0.9954228,13.33033384,0.05500877,0.997033649
YAL036C,11.31932537,0.064371276,0.965865609,9.04753192,0.079747285,0.978902895,7.642148331,0.093836109,0.991956962,9.012843151,0.07991764,0.981077722,7.318346467,0.097724667,0.975377448,11.18711818,0.064970439,0.949987722
YAL037W,14.55805334,0.050748171,0.798467304,12.0987534,0.060426336,0.998783606,12.85898457,0.057039269,0.995379809,14.898759,0.049534854,0.904150479,14.04148804,0.052375259,0.994787718,12.78556666,0.057224289,0.963203052
YAL038W,31.90470149,0.024861093,0.931218686,36.28521849,0.022238285,0.897811239,34.22182456,0.023390079,0.921818076,40.35747166,0.020186222,0.852035526,38.40880344,0.021057605,0.870790896,35.84316647,0.02234937,0.909355813
YAL039C,12.34102972,0.059301616,0.872148029,8.405333098,0.085600708,0.991574356,10.13353082,0.071536892,0.909412161,10.84206929,0.066942297,0.952952874,6.876772664,0.103806453,0.993593661,5.207673611,0.136112152,0.899658777
YAL040C,3.665970509,0.192211581,0.810700359,5.717003875,0.124378627,0.953047771,5.333500944,0.133096555,0.952152236,8.511136948,0.084451056,0.938376961,4.542027123,0.155618485,0.95728127,5.980548282,0.118911307,0.937726415
YAL041W,7.405076331,0.096739869,0.989527674,7.070135634,0.101174282,0.983781437,7.598494755,0.094357187,0.963765998,5.732372714,0.123929058,0.958898604,8.875407979,0.081108535,0.907677103,6.159923671,0.115536321,0.987964023
