gene_id	log2FC_pop2ccr4_hl	log2FC_dcp2_hl
YBR267W	0.4602582497510233	0.4959639029585841
YBR268W	0.3607718772125494	0.0925998279939728
YBR269C	0.45111691722075714	0.23921515624486278
YBR270C	0.4107799942206051	-0.09155992835298685
YBR271W	0.6493028419423136	0.0662689072145663
YBR272C	0.5502224859411879	0.38778729579332316
YBR273C	-0.056788398024533046	0.1565143803442184
YBR274W	0.44880576358721247	0.40285840402130313
YBR275C	2.3550359340207345	0.3847542065869852
YBR276C	0.050021371048596636	0.3338290990310039
YBR278W	0.5438008748113194	0.5667608193310066
YBR279W	0.3809903305704789	0.561390475613941
YBR280C	-0.24156391127079516	0.05303933182848301
YBR281C	0.47883882759086516	0.07542970443040163
YBR282W	0.5407513912946897	0.33325602807521726
YBR283C	0.08041174391131063	0.41297394947112787
YBR284W	0.81672556891043	0.3412700419613722
YBR286W	0.29822734670246653	0.11011992791478814
YBR287W	0.2987648141555053	0.35729693054540934
YBR288C	0.6170608864986982	0.34669324722613537
YBR289W	0.407574720117216	0.5496026544657284
YBR290W	0.12991951190264495	-0.20512336650570692
YBR291C	0.33621062280396813	0.09770786456730922
YBR292C	-0.3406910243905756	-0.17382219505961102
YBR293W	0.12167714411139618	0.27437691067901454
YBR294W	0.4353455996175375	-1.718265922027076
YBR295W	1.8868404983276084	0.44453040612542577
YBR296C	0.26928296464866475	0.28644010978922296
YBR297W	-0.30168614552717454	-0.38900773733489635
YBR299W	2.661882398088222	-1.1962150452146956
YCL001W	0.4604342969626669	-0.06353020959887838
YCL002C	0.7779548839659433	0.36389871906505084
YCL004W	0.040919421268192306	-0.253584531682736
YCL005W	0.5147091152445059	0.19475085471171963
YCL005W-A	0.5272188682079744	0.07543748960707396
YCL008C	-0.19776476090181103	0.18225525293247527
