sample,dmso_time,labeling_time,dmso_conc,strain,plate,media,row,col,volume,pr_new,total,pr_new_95ci,p_spikein,spikein,aligned,orf_aligned,od,scale_factor,scaled_rna,scaled_mrna,smoothed_mrna,exp,klac,rep,iaa_time,iaa_conc,xrn1,repeat,control,time,add,treat,remove_sample,hu_conc,alphaFactor
TC-14Apr2019|C1,,8.5,,aa100,TC-14Apr2019,YPD,C,1,500.0,0.1742112777925259,303088,0.0042881121805499,0.0408422851805109,8220,201262,160510,0.962,0.9137879316711434,183910.78670399764,146672.1009125352,146491.1662406058,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C2,,8.5,,aa91,TC-14Apr2019,YPD,C,2,500.0,0.0591053149498726,223321,0.0034065664503921,0.0396666600632606,6007,151437,127332,1.246,0.965420759782394,146200.42359916642,122928.9561846118,125984.33436922089,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C3,,8.5,,aa81,TC-14Apr2019,YPD,C,3,500.0,0.1162075649605467,378350,0.0034228034741607,0.0606280374455031,14546,239922,195204,0.582,0.8535436579203882,204783.90149557535,166615.13620069146,168001.44574677845,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C4,,8.5,,aa88,TC-14Apr2019,YPD,C,4,500.0,0.0385765780055031,308170,0.0024038609687324,0.0296322792286947,6296,212471,164948,1.042,1.1014375272847885,234023.53285972629,181679.9172505713,176661.8155016211,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C5,,8.5,,aa93,TC-14Apr2019,YPD,C,5,500.0,0.1710697739389544,172767,0.0056989375885997,0.0376517501107665,4249,112850,91897,1.122,1.5156981468639572,171046.53587359758,139288.11260235708,136537.24620801938,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C6,,8.5,,aa92,TC-14Apr2019,YPD,C,6,500.0,0.1827178011191528,175770,0.0057150512624621,0.0298699949798327,3451,115534,92819,1.502,1.394046998477062,161059.82592204888,129394.04835164244,128211.54840844266,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C7,,8.5,,aa90,TC-14Apr2019,YPD,C,7,500.0,0.0705988753598089,330117,0.002857531316605,0.0325550862463614,7538,231546,183220,0.942,1.0176191514303468,235625.64403709103,186448.18092506813,190809.6146633911,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C8,,8.5,,aa98,TC-14Apr2019,YPD,C,8,500.0,0.1695967215377822,288760,0.0043459068117866,0.0297645882237111,5744,192981,149356,1.498,0.8397810358100494,162061.78407165917,125426.33638444572,125445.46423042464,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C9,,8.5,,aa97,TC-14Apr2019,YPD,C,9,500.0,0.1295726930808212,162900,0.0056270075049971,0.0703737681631203,7134,101373,77328,0.518,1.9553722291316904,198221.94898376687,151205.02373429536,151411.494629923,screen_1,,,90.0,1000.0,,,,,,,,,
TC-14Apr2019|C10,,8.5,,nf227,TC-14Apr2019,YPD,C,10,500.0,0.0541993296514466,409378,0.002401363752695,0.022846267051565,6458,282672,222268,1.47,0.7611617084120734,215159.1024402576,169181.89060533475,171482.91339810973,screen_1,,,90.0,1000.0,,,,,,,,,
