sample	sample_short	sample_id	experiment	strain	strain_info	condition	experiment_strain_condition	timepoint	time	fraction
2025-08-28-MS250806L29_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_13min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_13min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T4	13	EU
2025-08-28-MS250806L30_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_18min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_18min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T5	18	EU
2025-08-28-MS250806L31_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_28min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_28min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T6	28	EU
2025-08-28-MS250806L32_exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_44min-EU-chase_EU-enrich	exp250624_MS1039_SCGEuri_7.5hr-arrest_30min-PhIAA_44min-EU-chase	exp250624	MS1039	eIF4G-AID	7.5hr-arrest_30min-PhIAA	exp250624_MS1039_7.5hr-arrest_30min-PhIAA	T7	44	EU
2025-08-28-MS250808L01_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_no-EU_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_no-EU_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_no-EU	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	Tbackground	NA	input
2025-08-28-MS250808L02_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_04min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_04min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_04min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T1	4	input
2025-08-28-MS250808L03_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_07min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_07min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_07min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T2	7	input
2025-08-28-MS250808L04_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_10min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_10min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_10min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T3	10	input
2025-08-28-MS250808L05_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_13min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_13min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_13min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T4	13	input
2025-08-28-MS250808L06_exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_18min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_18min-EU-chase_input	exp250624_MS1039_SCGEuri_1.5hr-arrest_1hr-DMSO_18min-EU-chase	exp250624	MS1039	eIF4G-AID	1.5hr-arrest_1hr-DMSO	exp250624_MS1039_1.5hr-arrest_1hr-DMSO	T5	18	input
