gene_id	log2FC_ccr4_60	log2FC_not1_60	log2FC_xrn1_60	log2FC_dcp2_chapp_60	log2FC_pop2_60	not1_sensitive	xrn1_sensitive	ccr4_sensitive	pop2_sensitive	dcp2_sensitive
YMR287C	-0.4854268271702417	0.47393118833241227	0.49625385765459773	0.22239242133644802	0.7979562240553544	FALSE	FALSE	FALSE	TRUE	FALSE
YMR288W	-0.4093909361377018	0.9475325801058646	0.5545171675228245	-0.5448670951433577	0.19744606420621713	TRUE	FALSE	FALSE	FALSE	FALSE
YMR289W	-0.26918663281538907	0.5277185488866805	0.6616872517924387	0.7289087598384543	-0.4150374992788438	FALSE	FALSE	FALSE	FALSE	FALSE
YMR290C	-0.33528647774238135	-0.44601458367175634	0.5524977767954602	-0.11655425744076044	0.1190884709723151	FALSE	FALSE	FALSE	FALSE	FALSE
YMR290W-A	-0.3219280948873623	NA	0	-0.3219280948873623	NA	FALSE	FALSE	FALSE	FALSE	FALSE
YMR291W	0.22239242133644802	-0.16992500144231246	0.30142463065278097	-0.1154772174199359	0.3521602963067777	FALSE	FALSE	FALSE	FALSE	FALSE
YMR292W	-0.41850135458241483	0.22083021756616464	1.3312720628701433	-0.00408348713293779	-0.5141202784481108	FALSE	FALSE	FALSE	FALSE	FALSE
YMR293C	0	0.00846157874819607	0.9273387611010214	0.4324046312489319	-0.17687776208407915	FALSE	FALSE	FALSE	FALSE	FALSE
YMR294W	-0.34792330342030686	0.15200309344505006	1.5058052806187587	0.19592020997525664	-0.22239242133644802	FALSE	TRUE	FALSE	FALSE	FALSE
YMR295C	-0.4994662804395502	0.21663602450889705	0.6247730076367299	-0.018797595454125876	-0.3480307227302031	FALSE	FALSE	FALSE	FALSE	FALSE
YMR296C	-0.06493489779928975	0.2648515294898778	0.16189424745739306	0.22301454787159078	-0.38167819072519343	FALSE	FALSE	FALSE	FALSE	FALSE
YMR297W	-0.3424527031013584	0.24315098150324552	-0.04182624353262611	0.06957878485918485	-0.22620839500296813	FALSE	FALSE	FALSE	FALSE	FALSE
YMR298W	-0.26754988695628706	0.41270966292383193	0.44540304994411634	0.5663387220990608	-0.3410369178350671	FALSE	FALSE	FALSE	FALSE	FALSE
YMR299C	0.09686153925258927	0.2412637831625749	0.925557098457206	0.18715953885866643	0.2334901302197785	FALSE	FALSE	FALSE	FALSE	FALSE
YMR300C	-0.09735637549166687	0.46496272461052607	0.9445530663740828	-0.147985732911555	-0.15285148808337135	FALSE	FALSE	FALSE	FALSE	FALSE
