gene_id	log2FC_dcp2D_vs_WT	padj_dcp2D	pval_dcp2D	log2FC_xrn1D_vs_WT	padj_xrn1D	pval_xrn1D	TE_vijjamarri_WT
YIL158W	-0.0320266730303704	0.7180398699963091	0.6667361650836705	0.12958917200916753	0.08824547520112329	0.06969490586448325	-0.34540180632394885
YIL157C	0.030981962260861768	0.7011246369857834	0.6488559712524176	-0.3222932019137187	2.3104235425714643e-6	1.2868656666846966e-6	-0.38989175292010875
YIL156W-A	0.5213589479973643	0.04244949178964712	0.02941510399477466	-0.582109294102406	0.020120386485658028	0.014785840555891007	NA
YIL156W-B	0.18312978752857761	0.11112170825559364	0.08238163844989536	-1.0798938706697616	6.941683808505301e-24	1.8793988935339126e-24	0.07845486323328907
YIL156W	-0.5409295259394195	8.119736655305958e-12	2.5603421162877953e-12	-0.30037881213303486	1.0764923953760743e-4	6.612466573899978e-5	-1.3635823303538634
YIL155C	1.374179060377743	2.1741860391130927e-74	8.569643821127778e-76	0.7255728473432845	3.391304089229493e-22	9.737358213096198e-23	-1.41429249504569
YIL154C	0.13729109544530085	0.09720816168896482	0.0715930792244236	0.28692852640034333	1.5568138278269458e-4	9.682398371176444e-5	0.007591917398916513
YIL153W	0.25129541684715007	3.3787641558439993e-4	1.806596364403154e-4	-0.09613608150512319	0.17452206171037804	0.14376042284380122	-1.5754496144118173
YIL152W	0.7225524495370257	1.3770614490130045e-10	4.6572893116161694e-11	0.4907219139283775	7.439502644797395e-6	4.253497747756172e-6	-0.8546510316847258
YIL151C	-0.4006253402415979	4.571638087062278e-12	1.42332222108272e-12	0.5307535998269411	1.4755582193062372e-22	4.188807876772799e-23	-1.97665802306837
YIL150C	-0.44280426209795504	6.635211615875616e-6	3.0678303485270786e-6	0.7980875833457353	1.2082770120609637e-19	3.8313832623368027e-20	0.0314908621267851
YIL149C	-0.9647017890765721	8.339523838321842e-32	1.0944547818523941e-32	-0.07079127483738347	0.41994461276485634	0.3694198328116001	-1.2948781571335235
YIL148W	-0.6267841637852045	6.781905095706672e-23	1.2804925623573712e-23	-1.5232895832166768	2.3596963770388928e-130	9.684021151709657e-132	-1.2305088296309121
YIL147C	-0.5644548433620019	4.78614606735595e-28	7.27742906610072e-29	-0.2619936740087588	1.6101895273094325e-7	8.431269934110655e-8	-2.7052258024173184
YIL146C	0.4972907112370874	1.5990326997366834e-7	6.541068218143415e-8	1.2252378370249246	2.2359573472029964e-43	3.5714582959457366e-44	-1.7090312693174294
YIL145C	-0.09737799667032926	0.1211697211997737	0.09060003511615794	-0.1747707514846231	0.0026885844144607456	0.0018257290089340758	-0.4738731855236313
YIL144W	0.013697938011925329	0.8812601414349928	0.8538102019837404	1.210504591562846	6.338555714834818e-66	6.681028609967612e-67	0.024450953929519192
YIL143C	-0.3479406770107504	6.286535553522796e-7	2.695024984858311e-7	0.5201806247653934	2.5671146793729037e-15	9.455197999757004e-16	-0.6846127019495349
YIL142C-A	3.8026294268149616	0.008801888984399655	0.005528792091618029	0.8887094607478845	0.5816467966766027	0.5320170581943062	NA
YIL142W	-0.6658230532154976	2.182477097265089e-39	2.11997332447657e-40	-0.634164282639603	4.433691273666917e-38	7.991640161126817e-39	-0.20152155398727034
YIL141W	0.055991390834702386	0.6438717857217058	0.5880771683289332	-0.352580449734181	7.19097944632096e-4	4.670845816919431e-4	NA
YIL140W	-0.08271766275771443	0.21823799163518723	0.17219989153972184	-0.42952213537279593	1.775894121375537e-12	7.395626389725996e-13	-0.37109646692966863
YIL139C	-0.2535197764633791	0.1463051410077509	0.11140270406229394	0.42723192286613254	0.007661187952676231	0.0054003797570163865	-2.014571645289476
YIL138C	-0.16019490248621315	0.027078075829035594	0.018159979110024906	-0.7744517946025662	2.6340886590485365e-30	5.914450620627139e-31	-0.28419796683976867
